product_id,title,product_type,price,image_url,visual_description,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,marketing_copy,gender,creative_collections,utility_collections
9175875191011,Neon 90s Cassette Tape All-Over Print Jersey — Maximalist,Jersey,60.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/ad99ab4a-il_fullxfull.7768976276_s1wq.png?v=1778523656,"Repeating 90s cassette tape illustrations in electric neon — retro tape decks, reels, and cassette bodies in lo-fi neon colors (hot pink, electric yellow, cobalt) scattered across white base; nostalgic maximalism meets vaporwave sportswear",90s cassette tape AOP jersey,retro tech print sportswear,neon vaporwave jersey,lo-fi aesthetic sports top,cassette tape fashion print,hyperpop streetwear jersey,90s nostalgic maximalism,post-internet art jersey,weird girl aesthetic top,festival core jersey 2026,all over print basketball jersey,wearable nostalgia sportswear,Rewind the whole outfit.,Guys+Girls,Static Frequency|Avant-Kindergarden™|Color Riot|Maximalist Motifs,
9175875223779,Graffiti Newspaper Collage Snapback Hat | Urban Street Art AOP Flat Brim Cap,Snapback Cap,30.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/5182c5a1-il_fullxfull.7770396660_lqhe.png?v=1778723099,"Graffiti tags layered over newspaper collage fragments — hand-style throw-ups, wildstyle pieces, and cut-up newsprint elements creating urban visual noise; flat brim six-panel with full AOP panels",graffiti newspaper collage cap,street art snapback AOP,urban collage flat brim hat,skate culture hat print,hypebeast streetwear cap,graffiti tag print hat,art kid headwear 2026,alt fashion snapback,wearable art cap,main character hat,all over print streetwear hat,dopamine dressing accessory,The wall came home with you.,Guys+Girls,StreetsmART|Hyperdensity|Maximalist Motifs|Boundless Bleeds,Accessories
9175875256547,Chaos Core Henley for Trippy Maximalists — Acid Marble AOP Long Sleeve,Henley Shirt,49.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/6d53dd38-il_fullxfull.7682041278_qenc.png?v=1778390990,"Swirling acid marble patterns — deep purples, burnt oranges, electric blues, and metallic golds flowing in liquid turbulence across every panel; Y2K chaos aesthetic in a fitted henley silhouette",acid marble henley shirt,chaos core long sleeve men,psychedelic marble print top,Y2K alt fashion henley,liquid marble AOP shirt,wearable art long sleeve men,festival layering piece,neuro-spicy style shirt,eclectic maximalism top,all over print henley men,bold print men's top,art collector wardrobe piece,Marble doesn't move — until it's on you.,Guys,Boundless Bleeds|Cognitive Drift|Color Riot|Maximalist Motifs,
9175875289315,AOP Flat Brim Snapback Cap | All-Over Print 6-Panel Streetwear Hat,Snapback Cap,25.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/fe0c0a34-il_fullxfull.7739781795_c2f7.png?v=1778723439,Full-bleed psychedelic abstract print across all six panels — continuous swirling pattern with no seam breaks; structured flat brim with sublimation coverage including brim underside,AOP flat brim snapback,all over print 6 panel cap,psychedelic festival hat,alt fashion structured cap,bold print streetwear hat,content creator headwear,dopamine dressing accessory,festival core hat 2026,hypebeast AOP cap,wearable art hat,main character hat unisex,all over print baseball cap,Six panels. Zero blank space.,Guys+Girls,Boundless Bleeds|Maximalist Motifs|Cognitive Drift,Accessories
9175875322083,Maximalist Bathrobe for Loungewear Connoisseurs — Geographic AOP Fleece-Lined,Bathrobe,70.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/17c5eaf5-il_fullxfull.7739778777_cfx1.png?v=1778483577,"Bold geometric abstract patchwork — angular fragmented shapes in a high-contrast multicolor palette (terracotta, olive, cobalt, ochre) forming a mosaic-like surface across the entire robe; plush fleece interior",geographic AOP bathrobe,maximalist geometric robe,abstract patchwork loungewear,bold print men's bathrobe,luxury art robe gift,father's day unique gift,wearable art home spa,all over print bathrobe,eclectic maximalism loungewear,dopamine dressing home,creative director gift idea,bold geometric home fashion,Even your off day deserves a statement.,Guys,Maximalist Motifs|Hyperdensity|Color Riot|Transcendent Artifacts,
9175875354851,Maximalist AOP Men's Drawstring Tank Top | Cotton-Blend Sleeveless Adjustable Hem,Tank Top,31.82,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/cfd07942-il_fullxfull.7691829098_2g4r.png?v=1779047504,Vivid maximalist all-over print on cotton-blend sleeveless — dense abstract or graffiti-style AOP with drawstring adjustable hem; bold gym-to-festival crossover in striking multicolor,AOP drawstring tank top men,adjustable hem festival tank,bold print gym sleeveless,burning man camp tank,all over print cotton tank,maximalist men's activewear,rave gym crossover top,bold summer tank men,festival gym wear 2026,main character activewear,wearable art tank,dopamine dressing gym,Abs optional. Attitude mandatory.,Guys,Maximalist Motifs|Boundless Bleeds|Static Frequency|Color Riot,
9175875387619,AOP Unisex Heavyweight Cotton Lounge Pants | 310gsm All-Over Print Streetwear Bottoms,Lounge Pants,82.52,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/a6130a90-il_fullxfull.7739784667_bg80.png?v=1778723379,Full-coverage maximalist AOP on heavyweight 310gsm cotton lounge pants — rich dense patterning from waistband to ankle in bold multicolor; premium streetwear lounge silhouette with wearable art credentials,310gsm AOP lounge pants,heavyweight cotton streetwear bottoms,maximalist lounge wear unisex,wearable art loungewear pants,all over print sweatpants,festival lounge pants bold,main character loungewear,dopamine dressing pajamas,eclectic maximalism bottoms,gallery day outfit pants,indie aesthetic lounge pants,bold print unisex bottoms,Couch to gallery. Same pants.,Guys+Girls,Boundless Bleeds|Maximalist Motifs|Color Riot|Hyperdensity,
9175875420387,Maximalist AOP Trucker Hat | Bold All-Over Print Snapback with Black Half-Mesh,Trucker Hat,26.88,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/db961aca-il_fullxfull.7691837502_c7ba.png?v=1778723536,Bold maximalist AOP front panels on classic trucker silhouette — vivid all-over print structured front with black mesh back; full sublimation coverage on foam-front panels including brim,AOP trucker hat bold,all over print snapback trucker,maximalist festival cap,psychedelic trucker hat,bold print streetwear hat,festival headwear 2026,main character hat vibes,dopamine dressing accessory,wearable art hat unisex,alt fashion trucker cap,all over print hat,chromatic therapy headwear,Half your head is a canvas. Act accordingly.,Guys+Girls,Maximalist Motifs|Boundless Bleeds|Color Riot,Accessories
9175875453155,Garden of Eden AOP Flat Brim Cap | Botanical Print Hat,Baseball Cap,25.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/c1eeda78-il_fullxfull.7691837490_5mpn.png?v=1778480773,"Lush botanical garden illustration wrapped across all cap panels — dense tropical leaves, flowers, fruit, and vines in saturated greens, pinks, and golds; cottagecore-meets-maximalism energy",botanical AOP flat brim cap,garden print streetwear hat,floral garden baseball cap,cottagecore maximalist hat,tropical print festival cap,botanical fashion accessory,nature print AOP cap,wearable garden hat,dopamine dressing headwear,weird girl aesthetic hat,plant lover gift hat,all over print botanical cap,Every petal earned its spot on the brim.,Guys+Girls,Quantum Bloom|Primal Prints|Maximalist Motifs|Boundless Bleeds,Accessories
9175875485923,Floral Fusion Maximalist Crewneck — 310gsm Cotton AOP Psychedelic Eye Floral Collage,Sweatshirt,85.00,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/a8c3c0a2-il_fullxfull.7806883539_j9s7.jpg?v=1774790955,"Surreal psychedelic collage of oversized floral forms fused with eye motifs — large-scale blooms with irises embedded in petals, saturated neons and jewel tones creating an AI fever-dream botanical; heavyweight cotton crewneck fully saturated",psychedelic eye floral sweatshirt,surreal botanical crewneck,310gsm AOP cotton sweatshirt,floral collage streetwear,weird girl aesthetic crewneck,dopamine dressing sweater,eclectic maximalism sweatshirt,wearable art crewneck,art kid fashion sweatshirt,post-internet floral fashion,neuro-spicy style sweater,ocular floral AOP crewneck,The garden is watching you back.,Guys+Girls,Quantum Bloom|Ocular Opulence|Maximalist Motifs|Boundless Bleeds,
9175875518691,"Charismatic Camo Plush Boots for Urban Maximalists — Bold Abstract Print Men's Winter Shoes, Non-Slip Rubber Sole, Warm Tactical Statement Footwear, Wearable Art Boots",Boots,124.28,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/6515dbc7-il_fullxfull.7739778775_lvof.png?v=1781178089,Abstract art aop print in vivid multicolor tones; full edge-to-edge sublimation coverage on Boots,weird girl aesthetic,art kid fashion,quiet chaos aesthetic,main character energy,all over print,AOP fashion,statement piece,alt fashion,wearable art,graphic print,festival outfit,indie aesthetic,"The streets called — they want their art back. Too bad, it's yours now.",Guys,Boundless Bleeds|Maximalist Motifs|Chromatic Overload|StreetsmART|Static Frequency|Cognitive Drift,
9175875551459,Street Syntax | All-Over Print Graffiti Turtleneck Top – Neon Maximalist Long Sleeve,Top,34.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/a00f8af6-il_fullxfull.7739773069_t4ti.png?v=1779651865,Graffiti-style street art print in neon tones; full edge-to-edge sublimation coverage on Top,dopamine dressing,eclectic maximalism,main character energy,festival core 2026,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Carry the city on your back. Wear the walls that shaped you.,Guys+Girls,Boundless Bleeds|StreetsmART|Static Frequency|Maximalist Motifs|Transcendent Artifacts|Chromatic Overload,
9175875584227,"Cyber-Marble Liquid Glitch Henley for Cyberpunk Streetwear Collectors — Deep Swirl AOP Long Sleeve, 280gsm Polyester-Spandex, Glitchcore Fashion Statement, S–6XL",Henley Shirt,49.42,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/1b7cca0d-il_fullxfull.7682040236_cms5.png?v=1778722741,Concentric swirl/spiral full-bleed print in vivid multicolor tones; full edge-to-edge sublimation coverage on Henley Shirt,dopamine dressing,wearable art movement,eclectic maximalism,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,"Infinite pattern, infinite potential. Wear it.",Guys+Girls,Static Frequency|Boundless Bleeds|StreetsmART|Cognitive Drift|Maximalist Motifs|Chromatic Overload,
9175875616995,"Digital Drip AOP Beanie for Urban Explorer Self-Expressers — Abstract Camo Double-Sided Print, Foldable Cuff Winter Streetwear Knit Cap, Maximalist Cold-Weather Statement Hat",Beanie,27.98,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/e4e20fe1-il_fullxfull.7676322118_o481.jpg?v=1774791012,Abstract art aop print in vivid multicolor tones; full edge-to-edge sublimation coverage on Beanie,main character energy,festival core 2026,art kid fashion,hyperpop streetwear,all over print,AOP fashion,streetwear,statement piece,graphic print,alt fashion,unique gift,indie aesthetic,The spray can is mightier than the sword. Wear the proof.,Guys+Girls,StreetsmART|Boundless Bleeds|Static Frequency|Maximalist Motifs,Accessories
9175875649763,Trippy Tags AOP Bucket Hat | Psychedelic Graffiti Print Festival Headwear for Rave & Streetwear,Bucket Hat,35.48,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/869b31ed-il_fullxfull.7676321768_bkpe.png?v=1778722372,Graffiti-style street art print in vivid multicolor tones; full edge-to-edge sublimation coverage on Bucket Hat,main character energy,festival core 2026,art kid fashion,hyperpop streetwear,all over print,AOP fashion,festival outfit,streetwear,statement piece,graphic print,alt fashion,unique gift,"Tag everything, including the algorithm.",Guys+Girls,StreetsmART|Boundless Bleeds|Cognitive Drift|Maximalist Motifs|Chromatic Overload,Accessories
9175875682531,"OG Graffiti Tag AOP Crewneck Sweatshirt for Hip-Hop Streetwear Collectors — Vibrant All-Over Print Cotton Unisex Statement Top, Dense Tag Collage Neon Urban Fashion",Sweatshirt,85.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/a6995b91-il_fullxfull.7771129012_olng.png?v=1779047571,Graffiti-style street art print in neon tones; full edge-to-edge sublimation coverage on Sweatshirt,art kid fashion,eclectic maximalism,main character energy,serotonin boost fashion,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,"The streets called — they want their art back. Too bad, it's yours now.",Guys+Girls,StreetsmART|Boundless Bleeds|Chromatic Overload|Hyperdensity|Static Frequency|Transcendent Artifacts,
9175875715299,Men's Henley Shirt – Pink Black Liquid Grunge Art Long Sleeve Streetwear,Henley Shirt,49.42,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/3fff6de1-il_fullxfull.7739775749_amh9.jpg?v=1774790956,Liquid marble fluid art print in black tones; full edge-to-edge sublimation coverage on Henley Shirt,dopamine dressing,wearable art movement,eclectic maximalism,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,The future of fashion isn't quiet.,Guys,Static Frequency|StreetsmART|Boundless Bleeds|Cognitive Drift|Chromatic Overload|Color Riot,
9175875748067,"Made-To-Order ""Painted Curls"" Digital Tie-Dye | Four-piece Duvet Cover Set | Widened",Duvet Cover,109.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/68b241ac-il_fullxfull.7691827060_4jew.jpg?v=1774791005,Hand-dyed spiral tie-dye pattern in vivid multicolor tones; full edge-to-edge sublimation coverage on Duvet Cover,dopamine dressing,serotonin boost fashion,wearable art movement,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Tie-dye never left. It was waiting for you.,Guys+Girls,Static Frequency|Cognitive Drift|Transcendent Artifacts|Chromatic Overload,Home & Living
9175875780835,"Maximalist Psychedelic Reversible Bucket Hat for Mind-Melting Dressers — Dyles Mavis Abstract AOP Both Sides Printed, Festival UV-Resistant Sun Hat, Main Character Headwear",Bucket Hat,35.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/26e3be40-il_fullxfull.7799218393_whp6.png?v=1778519081,Psychedelic full-coverage print in vivid multicolor tones; full edge-to-edge sublimation coverage on Bucket Hat,main character energy,festival core 2026,art kid fashion,hyperpop streetwear,all over print,AOP fashion,festival outfit,streetwear,statement piece,graphic print,alt fashion,unique gift,Not a vibe. A seismic event.,Girls,Static Frequency|Cognitive Drift|Boundless Bleeds|Maximalist Motifs|Chromatic Overload,Accessories
9175875813603,"Color Wheel Cargo Shorts for Festival Season Maximalists — Tactical Abstract AOP, Quick-Dry Polyester-Spandex, Streetwear Pocket Shorts, Bold Summer Statement, XS–5XL",Shorts,41.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/fb29500a-il_fullxfull.7771101774_o8zn.jpg?v=1774790945,Abstract art aop print in vivid multicolor tones; full edge-to-edge sublimation coverage on Shorts,festival core 2026,dopamine dressing,chromatic therapy,vivid aura aesthetic,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,When mundane isn't in your vocabulary.,Guys,Cognitive Drift|Chromatic Overload|StreetsmART|Boundless Bleeds|Static Frequency|Maximalist Motifs,
9175875846371,"Men's Spiral Tie-Dye Henley for Psychedelic Festival Streetwear Dressers — AOP Long Sleeve Rave Statement Top, Vibrant Swirl Print Menswear, S–6XL",Henley Shirt,49.42,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/5b96f81c-il_fullxfull.7691832656_bgr9.jpg?v=1774790892,Hand-dyed spiral tie-dye pattern in vivid multicolor tones; full edge-to-edge sublimation coverage on Henley Shirt,dopamine dressing,wearable art movement,eclectic maximalism,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Wear the spiral. Become the spiral.,Guys,Cognitive Drift|StreetsmART|Boundless Bleeds|Primal Prints|Static Frequency|Transcendent Artifacts,
9175875879139,Kinetic Insect Ceiling Fan Decals | Cyberpunk Steampunk Art,Wall Decor,30.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/b8dd3cb8-il_fullxfull.7712126566_h39y.jpg?v=1774790946,All-over print in vivid multicolor tones; full edge-to-edge sublimation coverage on Wall Decor,dopamine dressing,eclectic maximalism,main character energy,festival core 2026,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Glow different. Burn brighter.,Guys+Girls,Static Frequency|Ocular Opulence|Primal Prints|Maximalist Motifs|Transcendent Artifacts|Chromatic Overload,Home & Living
9175875911907,"Glitch Camo Combat Boots for Urban Explorers — Concrete Jungle AOP Martin-Style Boots, Plush-Lined Winter Footwear, Alt Fashion, Men's Wearable Art",Boots,110.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/a58bb898-il_fullxfull.7691833748_slhd.png?v=1778715013,All-over print in vivid multicolor tones; full edge-to-edge sublimation coverage on Boots,weird girl aesthetic,art kid fashion,quiet chaos aesthetic,main character energy,all over print,AOP fashion,statement piece,alt fashion,wearable art,graphic print,festival outfit,indie aesthetic,Your outfit IS the gallery. No admission required.,Guys,Boundless Bleeds|StreetsmART|Static Frequency|Maximalist Motifs|Primal Prints|Cognitive Drift,
9175875944675,Liquid Glitch Beanie – Maximalist Graffiti Streetwear Hat,Beanie,35.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/liquid-glitch-beanie-maximalist-graffiti-streetwear-hat-9487129.png?v=1776796989,Graffiti-style street art print in vivid multicolor tones; full edge-to-edge sublimation coverage on Beanie,main character energy,festival core 2026,art kid fashion,hyperpop streetwear,all over print,AOP fashion,streetwear,statement piece,graphic print,alt fashion,unique gift,indie aesthetic,The spray can is mightier than the sword. Wear the proof.,Guys+Girls,Static Frequency|Boundless Bleeds|StreetsmART|Cognitive Drift|Maximalist Motifs|Chromatic Overload,Accessories
9175875977443,"Main Character Flat Brim for Streetwear Collectors — Fractal Art AOP Snapback, Psychedelic Festival Cap, Alt Fashion Headwear, Moss Teal Ochre Print, Unisex Statement Hat",Baseball Cap,30.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/abstract-fractal-art-flat-brim-cap-maximalist-streetwear-snapback-2892890.png?v=1778286067,Psychedelic full-coverage print in vivid multicolor tones; full edge-to-edge sublimation coverage on Baseball Cap,main character energy,festival core 2026,art kid fashion,hyperpop streetwear,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Close your eyes. Open your wardrobe. Same difference.,Guys+Girls,Boundless Bleeds|Cognitive Drift|Maximalist Motifs|StreetsmART|Static Frequency,Accessories
9175876010211,"Men's Lightning AOP Henley Shirt for Maximalist Cyberpunk Streetwear Dressers — Long Sleeve Bold Print Statement Top, Festival Electric Statement Menswear",Henley Shirt,49.42,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aac6a81b-il_fullxfull.7756073683_qyno.png?v=1779047781,All-over print in vivid multicolor tones; full edge-to-edge sublimation coverage on Henley Shirt,dopamine dressing,wearable art movement,eclectic maximalism,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,No streetlight? You ARE the streetlight.,Guys,Static Frequency|Boundless Bleeds|Maximalist Motifs|StreetsmART|Chromatic Overload,
9175876042979,"Geometric Glitch Art Button-Down for 90s Arcade Maximalists — AOP Glitchcore Short Sleeve Shirt, Bold Pixel Streetwear Statement, Festival Creative Professional Top",Button-Up Shirt,44.82,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/e396617b-il_fullxfull.7708160114_p2gm.png?v=1779047707,Geometric vector art print in vivid multicolor tones; full edge-to-edge sublimation coverage on Button-Up Shirt,dopamine dressing,wearable art movement,eclectic maximalism,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Glow different. Burn brighter.,Guys+Girls,Static Frequency|StreetsmART|Boundless Bleeds|Maximalist Motifs|Transcendent Artifacts|Vibe-Checked Vectors,
9175876075747,"Cyber-Marble Liquid Glitch Long Sleeve Henley — Maximalist AOP Streetwear Top, 280gsm Polyester-Spandex, Glitchcore Digital Marble Print, Men's Bold Art Shirt",Henley Shirt,49.0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/8eea2b3c-il_fullxfull.7705488966_10d1.png?v=1778723878,Liquid marble fluid art print in vivid multicolor tones; full edge-to-edge sublimation coverage on Henley Shirt,dopamine dressing,wearable art movement,eclectic maximalism,chromatic therapy,all over print,AOP fashion,festival outfit,rave wear,streetwear,statement piece,graphic print,bold print,Your drip is a public service announcement.,Guys,Static Frequency|StreetsmART|Boundless Bleeds|Maximalist Motifs,
